Утреняя зарядка,#A348A7,morning-exercise
Морская прогулка,#63C18E,seaside-walk
Городской марафон,#D73F36,city-marathon
Полевые цветы,#F6BB42,field-flowers
Пикник на лугу,#4F7EFF,picnic-meadow
Лесной ручей,#8D6CAB,forest-brook
Восход солнца,#ED8E68,sunrise
Золотые пески,#F0CA4D,golden-sands
Светофорные игры,#4FC6E8,traffic-light-games
Ветреная гонка,#A34F8D,windy-race
Береговая линия,#6ABD8C,coastline
Парусный ветер,#F26722,sailing-wind
Вершина горы,#9B59B6,mountain-peak
Тропический коктейль,#E25A9B,tropical-cocktail
Полярное сияние,#3FC380,polar-lights
Космическая одиссея,#F1C40F,space-odyssey
Тихий океан,#1ABC9C,quiet-ocean
Пламя азота,#E74C3C,nitrogen-flame
Жасминовый чай,#F39C12,jasmine-tea
Скалистые вершины,#7F8C8D,rocky-peaks
Лунная дорожка,#9796A0,lunar-path
Карнавал красок,#D35400,color-carnival
Квартет джаза,#5499C7,jazz-quartet
Рифовое плавание,#27AE60,reef-swim
Звездное небо,#FF5733,starry-sky
Летний фестиваль,#F4D03F,summer-festival
Фееричный закат,#EB974E,spectacular-sunset
Пещерное приключение,#8E44AD,cave-adventure
Фруктовая оазис,#F9BF3B,fruit-oasis
Парящий зефир,#16A085,soaring-marshmallow
Космическая станция,#E74D3C,space-station
Замороженные дали,#2980B9,frozen-lands
Тропическая ночь,#FF9966,tropical-night
Кристальная глазурь,#D35401,crystal-glaze
Морозное озеро,#8E43AD,frosty-lake
Шоколадный экстаз,#BC8F8F,chocolate-ecstasy